question,metric,model_A,model_B,n,median_A,median_B,diff,p_value,r,magnitude,sig_p05
Does tuning help MLP?,NLL,SingleMLP_Tuned,SingleMLP_Fixed,36,0.2127,0.2438,-0.0097,0.0,-0.8286,large,True
Does tuned MLP match GBDT?,NLL,SingleMLP_Tuned,LightGBM,36,0.2127,0.201,0.0013,0.6357,0.0931,small,False
Does tuned MLP match Ensemble?,NLL,SingleMLP_Tuned,DeepEnsemble_M5,36,0.2127,0.2344,0.003,0.4507,0.1471,small,False
Replication of main H1 result,NLL,SingleMLP_Fixed,LightGBM,36,0.2438,0.201,0.0103,0.077,0.3393,medium,False
Does tuning help MLP?,ECE,SingleMLP_Tuned,SingleMLP_Fixed,36,0.0159,0.0179,-0.001,0.0535,-0.3746,medium,False
Does tuned MLP match GBDT?,ECE,SingleMLP_Tuned,LightGBM,36,0.0159,0.0178,-0.0022,0.0743,-0.3423,medium,False
Does tuned MLP match Ensemble?,ECE,SingleMLP_Tuned,DeepEnsemble_M5,36,0.0159,0.0177,-0.0008,0.3074,-0.1982,small,False
Replication of main H1 result,ECE,SingleMLP_Fixed,LightGBM,36,0.0179,0.0178,-0.0014,0.2264,-0.2342,small,False
Does tuning help MLP?,Brier,SingleMLP_Tuned,SingleMLP_Fixed,36,0.1327,0.1389,-0.0041,0.0,-0.7937,large,True
Does tuned MLP match GBDT?,Brier,SingleMLP_Tuned,LightGBM,36,0.1327,0.1229,0.0003,0.8099,0.048,small,False
Does tuned MLP match Ensemble?,Brier,SingleMLP_Tuned,DeepEnsemble_M5,36,0.1327,0.1333,0.0016,0.6469,0.0901,small,False
Replication of main H1 result,Brier,SingleMLP_Fixed,LightGBM,36,0.1389,0.1229,0.006,0.0854,0.3303,medium,False
